,Type,FullDish,Description
10,"Small Plates, Apps and Sides",Spicy Bleu Cheese Chips at The Bookhouse Pub,"The dim lighting inside Ponce de Leon Avenue’s finest “Twin Peaks”-themed gastropub makes the books lining the shelves virtually unreadable. Bookhouse’s heaping plate of homemade chips smothered in spicy bleu cheese is harder to miss. The heap is littered with melty crumbled cheese and chewy bacon bits, and then finished with a spicy chipotle sauce, a smattering of fresh tomatoes, green onions, and fresh cilantro. If you’re lucky, you’ll pull a slightly chewy chip from the pile, one that’s been soaking up some of that zippy cheese."
11,"Small Plates, Apps and Sides",Stuffed Jalapeno Poppers at Fox Bros. Bar-B-Q,"Ordering jalapeño poppers at a joint famous for its legendary barbecue may seem counterintuitive, unless of course the poppers are stuffed silly with some of that legendary ’cue. Fox Bros. fills fresh, hollowed-out jalapeños with a mixture of cheddar and cream cheese. Next come the gobs of chopped pulled pork and spicy barbecue sauce. The plump peppers are battered in seasoned flour and breadcrumbs and then fried to order. The result: melty, meaty, cheesy gems spiked with a hint of piquant green pepper."
12,Breakfast,Comfy Chicken Biscuit at Home Grown,"Don't let the name fool you. This open-faced take on the classic Southern breakfast sandwich is an all-out knife-and-fork affair. Crispy, deep-fried chicken breasts sit atop a fluffy biscuit split open and slathered with a peppery punch of hearty sausage gravy. Get comfy and loosen your belt a notch, or maybe two."
13,Breakfast,Country-Fried Tempeh And Gravy at Ria's Bluebird,"This vegetarian take on country-fried steak and gravy hits all the recognizable pleasure points: solid golden crunch, smooth white gravy, and salty satisfaction. The surprise is that the nutty flavor and texture of tempeh fits right in. This isn't decadence with a vegetarian asterisk; it is an unqualified pleasure."
14,Breakfast,Folk Southern Fried at Folk Art,"Need a little hangover relief? At Folk Art, a fried chicken breast hoisted atop a huge flaky biscuit smothered in hearty-but-not-overwhelming sausage gravy topped with eggs might do the trick. Opt for fried eggs to add the luscious trickle of runny yolk. The Folk Southern Fried, as it's called, won't cure your hangover, but the pleasure that follows each glorious, gooey bite just might make you forget about it."
15,Breakfast,French Toast Sandwich at Le Petite Marche,"Every so often, there's an intimidating wait at Petit Marché (on Hosea L. Williams Drive), but if you're tired of every other restaurant's limp, stuffed, dry, or pumpkin-spiced French toast, get in line at this Kirkwood eatery and stay there. You can help yourself to a steaming cup of coffee while you wait to be seated, and watch everyone else adoring their food. Their French-toast sandwich is a classic: two vanilla-rum battered, butter-fried pieces of thick, eggy bread, a hefty pile of scrambled eggs nestled inside, along with your choice of pork bacon or chicken or veggie sausage, all of it finished off with powdered sugar and drizzled in buttery maple syrup. Heaven."
16,Breakfast,Ham And Cheese Bun at Sweet Hut,"Sweet Hut is a chic, self-serve bakery known for its huge pastry cases filled with a stunning array of delicate, airy, buttery treats. There are sweet things such as buns filled with chocolate or mango pudding, but also other savory goodies waiting to be plucked onto a tray. Our favorite is a user-friendly sweet bun filled with good-old ham and cheese. Inside, the cloud-like pastry ? think Hawaiian roll, but better ? is stuffed with layers of salty ham, white American cheese, and plenty of black pepper. The bun is a scrumptious introduction to this Taiwanese trove that has locations on Buford Highway and in Midtown."
17,Breakfast,Pao De Queijo Waffle at Buteco,"Buteco, the new Brazilian street food eatery and bar located at the Beacon in Grant Park opens at 7 a.m., making these delicious bites perfect for breakfast, though they are also available for lunch and dinner until closing. Choose from ham, mozzarella, and oregano; bacon, diced egg, and cheddar, guava jelly; and more – while adding an order of coxinha, because you can!"
18,Breakfast,Peanut Butter French Toast at Highland Bakery,"If giants were real and they had a sweet tooth, they'd eat this indulgent creation. Bring a buddy or prepare for a severe sugar rush before sticking a fork into the two overgrown slices of challah bread slathered with peanut butter and encrusted with bran flakes, cut in half, and swimming in a shallow pool of brown sugar butter and caramelized bananas."
19,Breakfast,Pecan Waffle at Waffle House,What? That waffle is damn good and you know it. And if you don't know it you should. It's nutty and crispy and golden ? and a damn institution. There's a reason this place is called the Waffle House.
20,Breakfast,Toast With Avocado And Fried Egg at Spiller Park,"Spiller Park's avocado toast earns a home run thanks to the thick, buttered slices of sourdough bread that serve as its foundation, and the fact that you can get a perfectly pulled piccolo ? espresso and steamed milk, twice as intense as a typical latte ? as accompaniment. The avocado comes mashed up with chili powder, salt and lime, plus a scattering of salted radish slices. Don't pass on the optional runny fried egg on top."
21,Salads,Chicken Skin Salad at Shoya Izakaya,Let's call this Japanese cracklins. Mixed greens and sesame dressing equals a bowl of transcendence with a handful of golden-brown chunks of fried chicken skin.
22,Salads,Crispy Catfish Vietnamese Salad at W.H. Stiles Fish Camp,"Dang, this salad is good. Choose between a crispy or pan-seared catfish (crispy is where it’s at — moist and flaky on the inside, golden brown on the outside) cradled in a bed of chopped cabbage and cucumber slaw with peanuts, cilantro, and scallions. Slivers of jalapeño, a squeeze of lime, and a light dressing of tangy fish sauce-kissed vinaigrette pull the whole thing together."
23,Salads,Dumpster Salad at One Eared Stag,"Mixed greens, thick bites of bacon, chopped hard-boiled egg and a wide, creamy pool of buttermilk dressing — these are the simple foundations of this oddly satisfying salad. The rest depends on the kitchen; they’ll throw in whatever they have lying around: potatoes, croutons, parmesan, seasonal veggies like radishes and carrots. Available at lunch and dinner, it’s a little different every time, but always fresh and locally sourced."
24,Salads,Kitchen Sink Salad at Community Q BBQ,"Acid rules in this unlikely salad at the restaurant known for making beautiful dishes with local veggies that also go really well with barbecue. A big stainless steel bowl of local greens coated with house vinaigrette is made hearty with the addition of pickled mushrooms, beets, radishes, fiddlehead ferns, pears, and whatever other seasonal produce they get from their farmer partners. Make it a full meal by adding a small portion of smoked meat."
25,Salads,Twisted Soul Salad at Twisted Soul,"Invented back in the late ’90s, this healthful yet quintessentially Southern salad is a generous pile of mixed greens and local veggies. It comes topped with creamy nuggets of pecan-crusted goat cheese, house-made cornbread croutons, and zingy cranberry peppercorn vinaigrette."
26,Soups,New Mexico Hatch Green Chile Stew at Agave,"Hatch green chiles are one of the most flavorful varieties, and yet we rarely see them used. Luckily, they're the main ingredient of this stew, imparting a bite, a kick, and a tingly feeling all over. They share the bowl with potatoes, beef tips, corn, and onions. Dilute the stew by gulping down lots of tequila from one of the city's largest collections. Be your own mariachi band. Clank your soup spoon and sing ""Bésame Mucho."""
27,Soups,Pho at Nam Phuong,"Pho lovers are an intense and loyal sort. They fall in love and don't stray even if their soup of choice loses its shine over time. For those willing to jump the Pho Dai Loi ship, Nam Phuong has a clean broth, just sweet enough from the star anise and rich with beef flavor. The slices of beef are rightly raw until mixed in, and the noodles are chewy enough to give this soothing soup some heft."
28,Soups,She-Crab Soup at The Optimist,"This piping hot bowl of buttery froth is packed with crabby ocean flavor. Humming with sweet and salty notes of emulsified crab roe, heavy cream, and a dash of sherry, and served with a few chewy sticks of garlicky toast on the side, each spoonful will transport you to the sea."
29,Soups,Sopa De Pollo at La Fonda Latina,"This chicken soup will cure your ills and give you thrills. A hearty broth with chunks of white meat chicken, yellow rice, chopped tomatoes, green onions, and cilantro, it is served with jalapeños and limes on the side so you can make it just as spicy and tart as you want. Fair warning: Too many jalapeños will mask the delicate flavors inherent in the soup. A wintertime go-to, it’s delicious year-round."
30,Soups,Tonkotsu Ramen at Haru Ichiban,"This Japanese standby was around before ramen was trendy in Atlanta and is still going strong. At Haru Ichiban, you can customize your tonkotsu ramen filled with pork, bamboo shoots, green onion, and noodles any way you want. Is spice your thing? They’ll make that creamy pork broth red as an apple with chili powder, so red you’ll have to poke around to find those chewy ramen noodles under the silky surface. It’s arguably the most satisfying bowl of ramen out there right now."
31,Burgers and Sandwiches,Bocadillo Vegetariano at La Fonda Latina,"As the yuppie blitz continues its intown face-lift, it's important to remember the old standbys. La Fonda Latina is a Ponce institution, and the bocadillo vegetariano is a rite of passage: grilled tomatoes, squash, zucchini, cheddar and Monterey jack cheese with creamy Cuban dressing packed into a warm, freshly baked loaf of Cuban bread. It's a cultural experience for those who don't do pork. Add five shrimp for just a few dollars more, and push the bocadillo experience to a wholly new level of excellence."
32,Burgers and Sandwiches,Chicken Salad Sandwich at Las Brasas,"This humble eatery just outside downtown Decatur roasts its chicken Peruvian-style on a spiced hardwood charcoal rotisserie. The pulled chicken salad that results, made with an addictively creamy avocado mayo, is one of the city's best. It comes with lettuce, tomato, and onions on a soft egg bun and pairs beautifully with a side of crisp, crinkle-cut sweet potato fries."
33,Burgers and Sandwiches,Dirty Bird Bao at Ah-Ma's Taiwanese Kitchen,No need to travel to Taipei for authentic Taiwanese street food when you can simply head to Midtown. Ah-Ma's Taiwanese Kitchen Dirty Bird bao includes a Southern twist worthy of a touchdown dance. Crispy-fried-but-oh-so-moist chicken cutlet is tucked into steamed buns that are firm on the outside and pillowy soft on the inside. More impressive is the fact that the bao are made fresh in house each day. Each palm-sized bundle is topped with banh mi-like pickled daikon and carrots and brushed with a slightly spicy wasabi aioli.
34,Burgers and Sandwiches,Falafel Sandwich at Aladdin's Mediterranean Grill,"Falafel is the hot dog or hamburger of the Middle East, though a healthy alternative to both. Praised by meat lovers and vegetarians alike, falafel in pita bread may very well be one of the first sandwiches ever known, its history dating as far back as the Great Pyramids of Giza themselves. Luckily, you don't have to go back in time to taste these delectable patties of ground garbanzo beans mixed with parsley and just the right amount of spices. Aladdin's is where you'll want to order your falafel sandwich, where the way it comes — with just the right amount of lettuce, tomatoes, pickles, and tahini sauce — is the way it should be."
35,Burgers and Sandwiches,Grilled Pork Banh Mi at Lee's Bakery,"Quite possibly Vietnam's most famous export, the banh mi is a culture clash of tastes: a crusty, French demi-baguette stuffed with sliced cucumber, carrots, cilantro, and barbecued pork. Mr. Lee's bahn mi is pure heaven. Order one to go, too. It will come in handy when you're excitedly attempting to describe the taste sensations to a hungry friend."
36,Burgers and Sandwiches,La Poutine De Georgia at The Imperial,"The South has adopted this dish, for sure. The Imperial’s fries, covered in beef gravy with melted pimiento cheese over it all. You can use yer fingers, but a fork or a spoon is advised. Add the diced bacon and you’ve added another food group. This dish is certainly at the top of the USDA Food Pyramid!"
37,Burgers and Sandwiches,Lobster Roll at Atlanta Fish Market,"At Buckhead's iconic Atlanta Fish Market, the lobster roll has been a signature item since its opening in 1981.For the sandwich, lobsters are cooked and shelled before the meat is tossed in a not-so-secret recipe of homemade mayo, cayenne pepper, and lemon. Then the mixture is stuffed into a toasty, buttered brioche bun from Buckhead Bread Co. to complete the typical New England lobster roll experience."
38,Burgers and Sandwiches,Mix'D Up Burger at Mix'D Up Burgers,"There are so many burgers to choose from in this city, what's a beef patty connoisseur to do when not ready to fire up the gill in the back yard? Head over to Mix'd Up Burger, the little food truck that could, that has now spawned two locations: the original drive-though on Boulevard, and the sit-down-and-enjoy on Hosea Williams Drive. They claim to have “rockin' burgers,” and we won't argue. The signature burger, grilled to perfection, is where it's at, but there are plenty of selections for the adventurous ? and one for the vegetarian, too."
39,Burgers and Sandwiches,Pimento Cheese Sandwich at The Garden And Gun Club,"From the very same people who gave us the Charleston-based magazine of the same name. This restaurant in The Battery, the OTP complex where the Braves play baseball, offers really interesting takes on classic Southern cuisine. Garden & Gun, the magazine, has been fascinated with pimento cheese as an art form since it first started publishing — and has chosen the best of all its recipes for this notable sandwich."
40,Burgers and Sandwiches,Po'Boy Sandwich at The Po'Boy Shop,"Any effort to produce a Cajun menu outside New Orleans produces the same kind of argument about authenticity that people have about barbecue and deli food. The Po'Boy Shop is obviously mindful of that. Their po'boys start with French bread from New Orleans' Leidenheimer bakery — and they are all traditionally dressed with a spicy remoulade, lettuce, tomato, mayo, and pickles. Oysters, shrimp, catfish, grouper, sausage, muffaletta, and chicken tenderloins are among the close to 20 varieties available, including cheeseburger, vegan burger, and the notorious Debris, a sandwich made with roast beef slow-cooked so long it falls apart, producing fat “debris” used to make gravy, served with a horseradish sauce."
41,Burgers and Sandwiches,Pulled Pork Sandwich at Community Q BBQ,"Last we checked, there were more places to buy a pulled pork sandwich in the Atlanta metro area than we have fingers and toes to count on. Many of them are pretty good, but none are as consistently adept at balancing the smoke, the moisture, the bark, and portion size for a pulled-pork sandwich as Community Q. Top it with a splash of the Carolina style house vinegar sauce."
42,Burgers and Sandwiches,The Cheese Steak at The Mad Italian,"The most noteworthy cheese steak in Atlanta is located in a small building off an access road of I-285. The sandwich's “proper roll,” as it's called, has its own dedicated page on the Mad Italian's website. It's an airy, crusty, hefty roll that stands up to the juicy filling. The tender, thinly-sliced steak is grilled until the meat forms delightful crispy bits around the edges. Along with a smattering of translucent grilled onions, the sandwich is draped with gooey melted white American cheese. It comes in 6-, 8-, and 10-inch varieties. Get the 10."
43,"Pasta, Pizza and Noodles",Chengdu Cold Noodles at Gu's Kitchen,"Thick egg noodles nestled into a tiny bowl are bathed in a sweet and spicy sauce. An oil infused with fried chilies and Szechuan peppercorns brings the heat, while green onion adds a bright pop. Mix it all together in the deep-red dressing, pluck a comically long strand of noodles, and be prepared to fight your tablemate for the last slurp."
44,"Pasta, Pizza and Noodles",Chow Kway Teow at Mamak,"In food, too much smoke and char can be overpowering. Too little can be underwhelming. Mamak integrates an impeccable balance of both flavors with its flawless rendition of chow kway teow. A jumble of wide, flat rice noodles, tender squid and shrimp, and egg are stir-fried with soy sauce and chile in an intensely hot wok, kissing each element with a lightly charred and smoky essence. Crispy bean sprouts are tossed in at the last minute to add some fresh textural contrast to this soul-satisfying dish."
45,"Pasta, Pizza and Noodles",Essaouira Couscous at The Imperial Fez,"The seven-vegetable couscous (no, it is not a grain) at the Imperial Fez is served vegetarian, or with your choice of meats or seafood. Either way, it's delicious and tantalizing, offering a taste of the Levant with delicate herbs and spices, without the price of airfare. The Imperial Fez has been in Atlanta so long, it is sometimes overlooked for newer restaurants, but its dishes remain inspired and its service impeccable."
46,"Pasta, Pizza and Noodles",I Love Pepperoni Detroit-Style Pizza at O4W Pizza,"Not familiar with Detroit-style pizza? Get thee to Duluth for O4W's homage to Motor City, available in a few variations that all share the same basic construct: rectangular pan, thick but airy pie. The I Love Pepperoni version has loads to love — most notably the craggy, crunchy cheese and pepperoni crust that forms around the edges. A blend of Havarti, cheddar, and mozzarella gives the pizza (and crust) a sharp and deep flavor profile unlike any other pizza I or OTP."
47,"Pasta, Pizza and Noodles",Mai Pai at Savage Pizza,"This ain't your average Hawaiian pizza. Although it does have the requisite hunks of pineapple and Canadian bacon, what sets this version apart is Savage's signature spicy red pepper sauce. It's a flawless puree of bold Cajun flavors. Topped off with pepperoncini, green peppers, red onions, and mozzarella, the Mai Pai is the ideal combination of sweet and spicy."
48,"Pasta, Pizza and Noodles",Nana's Pizza at Varasano's Pizzeria,"If a Margherita pie and a New York pie had a baby, the Nana's would be the result. The sauce is cooked down until it's pastelike, and there's more mozzarella than the average Margherita. Add the perfectly airy and crackly thin Neapolitan crust, and Nana will knock your socks off. Consider adding some chewy pepperoni for a level of complexity rarely found in the pizza universe."
49,"Pasta, Pizza and Noodles",Pad Kee Mao at Little Bangkok,"Atlanta's best Thai restaurant still holds court on Cheshire Bridge Road along with other long-standing institutions like Nakato, Woodfire Grill, and the Colonnade. Despite its scant parking spaces, fans still manage to get in on Little Bangkok's spicy Thai specialties. The pad thai is a perennial favorite, but the pad kee mao (aka drunken noodles) is a superior choice for spice-lovers. Charred after a tumble in a super-hot wok, wide rice noodles are tossed with broccoli, carrots, mushrooms, tomatoes, bell peppers, basil, and a choice of chicken, beef, pork, or shrimp. The heat level is also yours for the choosing, but don't try to be a hero. Start with medium. When this place says Thai hot, it means Thai hot."
50,Meatless Entrees,Bun With Tofu at Dua Vietnamese Noodle Soup,"At this Downtown diamond in the rough, tofu is far more than just a spongelike block of bean curd. Order menu item B3, and when they ask whether you like it spicy, say yes. Cubes of gently fried, chewy-in-a-good-way tofu come bathed in rust-colored peanut sauce and served over slick vermicelli noodles. Brightened by a pile of matchstick-cut carrots and cucumbers, mixed greens, and crushed peanuts, there's just enough chew, spice, and crunch in each bite to satisfy vegetarians and meat eaters alike."
51,Meatless Entrees,Divine Punany Wrap at Tassili's Raw Reality,"Tassili Ma'at's self-described ""psychedelic shack"" in the West End (inspired by the Temptations' song of the same name) serves up raw, vegan food so good, even avowed carnivores can get down. The Punany wrap, with its mix of spicy kale, avocado, tomato, couscous, and sweet coconut corn packs a flavorful punch without overwhelming the palate. It comes stuffed with so much food that the whole-wheat wrap is the real MVP for successfully holding it all together. Chances are you're going to want to save half for later."
52,Meatless Entrees,Lemongrass Tofu at Nam Phuong,"Pretty much everything at this Buford Highway bastion of Vietnamese cuisine is delicious. Heaping portions go far beyond the typical standbys and include a number of excellent vegetarian options. The lemongrass tofu is a fresh, healthy dish that will satisfy vegans and carnivores alike. Crisp on the outside and soft on the inside, hearty hunks of tofu come thoroughly coated in a salty, citrusy, slightly spicy sauce and served over sautéed veggies and delicate vermicelli noodles with a sprinkle of crunchy peanuts on top."
53,Meatless Entrees,Paneer Kathi Roll at Bhojanic,"This dish comes very close to what you would actually find in the streets of Mumbai, and appears regularly on Bhojanic's menu as a special. Your choice of homemade Indian bread — flaky paratha, tortilla-thin whole-wheat chapati, or warm buttery naan — is stuffed with cubes of tandoori-spiced grilled paneer (a fresh, pressed cheese) dressed in aromatic mint chutney, raw onions, and cucumbers. Add raw green chilies for an extra kick to your lunch hour."
54,Meatless Entrees,Smoked Portobella Sandwich at Fox Bros. Bar-B-Q,"A thick, smoked portobella cap is topped with oozy pimento cheese and pickled jalapeños, red onion, lettuce, and tomato, and served on a soft and toasty brioche bun. As far as veggie sandwiches go, this one is meaty, messy fun."
55,Seafood,Duck Fat Poached Swordfish at The Optimist,"Gently poached in glorious duck fat, this thick, glistening swordfish steak is all meaty and supple, with translucent sections that fall away with the touch of a fork into the accompanying smear of celery root purée and garlic chile relish. It's surf and turf 2.0."
56,Seafood,Honey Squid at Penang,"No need to travel to Southeast Asia for delectable street food; simply head to Buford Highway. These tiny squid kind of resemble crunchy spiders, but in the cutest way, we swear. Deep-fried and doused in a honey barbecue sauce until caramelized and brittle, they're topped with sesame seeds and cilantro, and excellent for snacking."
57,Seafood,Hong Kong Style Lobster For Two at Bo Bo Garden,"Picture two lobsters chopped shell-on, battered with rice flour, and fried to orange perfection. When the platter of stunning Hong Kong-style lobster for two hits the table, it's time to roll up those sleeves and dig in. Don't be afraid to eat with your hands, the way you would with ribs or peel-and-eat shrimp. Each bright orange section is speckled with crunchy bits of fried garlic, scallion, and spicy ginger. It's a messy enterprise, but totally worth it in the end. And by the way, Bo Bo is open till two a.m."
58,Seafood,Kari Fish Head at Mamak,"This once-hidden BuHi gem is no longer quite so hidden (as you'll realize trying to snag a table at lunchtime), but its menu of Malaysian street eats has stayed strong. Red snapper head, a regional delicacy, comes swimming in a rich, saffron-colored coconut milk curry packed with dry-fried green beans, eggplant, and okra. Pulling the silky bits of fish flesh out of the whole head is a task, but one that reaps big rewards. For easy access, go with the fillet option: breaded, fried, and sautéed strips of catfish."
59,Seafood,Nigiri at Shoya Izakaya,"Here in Atlanta, it seems that Japanese food is associated with a certain snob appeal: The more expensive it is, the better it must be. Fortunately, that is not the case at Shoya Itzakaya. You don't have to mortgage your home to dine here, and the ambience is open and fun (read: no attitude) as a traditional itzakaya house should be. Nigiri is what people commonly think of as sushi — a small clump of sushi rice with fresh fish on top. Sashimi is the thinly-sliced fresh fish itself. Sushi is actually the vinegared, hand-formed clump of rice itself. Got it? No matter what you call it, the nigiri here is as good as it gets in this city — a fresh and tasty, melt-in-your-mouth gift from the sea!"
60,Seafood,Poke Bowl at Fish Bowl Poke,"Located Downtown just a few blocks from CL's office, Atlanta's OG poke restaurant opened last year and serves up deconstructed sushi bowls like hotcakes (one of our staff members may or may not have already eaten here 10 times and earned $5 off her next order). Bowls are highly customizable, with an order sheet to pencil in the base, proteins, and toppings of your choosing, but here's our tried and true: brown rice with salad, salmon, and ahi tuna topped with everything (and we mean everything) — crab meat, cucumbers, seaweed salad, sweet onion, pickled ginger, avocado, masago, tempura flakes, sesame seeds, and green onion. A spiral of wasabi aioli completes the dish. Delicious and nutritious."
61,Seafood,Raw Oysters at The Optimist,"For years, Atlanta's only oyster options were overpriced restaurant appetizers or low-priced specimens at questionable drinking spots. Thanks to the Optimist, we now have a solid spot to go for a carefully curated oyster selection so fresh you'd think you lived on the water. Pair them with a crisp glass of craft beer and more than one of the homemade Parker House rolls, shiny with butter and finished with flaked sea salt."
62,Seafood,Roasted Salmon at Rumi's Kitchen,"The salmon at Rumi's Kitchen is among the simplest dishes on the Persian menu — a thick fillet seared on the grill, served alongside basmati rice punched up with fava beans and dill. But simplicity belies the magic that happens when fire meets fish meets a dusting of Persian spices. It's a safe choice among Rumi's more exotic specialties, but this salmon delights time after time."
63,Seafood,Salt And Pepper Georgia Shrimp at Octopus Bar,"This bowl of greasy, spicy late-night junk food arrives containing a small pile of scallions, jalapeños, and deep-fried shrimp still holding onto their heads and shells. Be brave and bite right into that shell. You'll be rewarded with a salty crunch and a burst of seafaring flavors that will redefine your notion of fried shrimp."
64,Seafood,Seafood Risotto at Sotto Sotto,"Just call it gourmet baby food for adults. Carnaroli rice is cooked with butter in white wine and chicken-fish stock until it is slightly al dente. Then, heavy cream is added. Shellfish, cooked separately, is placed atop the rice. That adds up to a velvety background foregrounded by springy bites of slightly briny seafood."
65,Seafood,Shrimp Fried Rice at Ming's Barbecue,"On Buford Highway, where else? Their shrimp fried rice is not over-fried, brown, or greasy. It's fluffy white, lightly tossed in oil with hefty butterfly shrimp, not those tiny sea monkeys you find in some Chinese takeout. Go! But take cash or be scorned by the owners."
66,Meat Entrees,Carnita Taco at El Rey Del Taco,"Succulent hunks of slow-cooked pork carnitas with just a hint of barbecue bite are nestled with chopped cilantro and onion onto freshly made corn tortillas ? hechas a mano by the resident abuela. Alternate bites with a dollop of the neon-green avocado salsa or the salsa roja to amp up the flavors, and wash it down with a Michelada: Mexican beer poured over spicy, citrusy tomato juice."
67,Meat Entrees,Chicken Mole at Zocalo Taqueria,"Mole sauce, to its lovers, is as controversial as barbecue is to its fanatics. All Mexican cooks have their own version. Zocalo's, the owners' own Mexican family recipe, has no equal in town. It's complex with nuts, chiles and countless other ingredients, including a bit of chocolate, and emits a mouth-watering fragrance. Zocalo serves it over a chicken breast."
68,Meat Entrees,Dolsot Bibimbap at Woo Nam Jeong (Stone Bowl House),"There may be no dish more comforting than the classic Korean rice bowl known as bibimbap. And when you're in Atlanta, there's still no better place to find it than ye olde Woo Nam Jeong. The dolsot “stone bowl” variety is king: rice, veggies, bulgogi, your choice of protein, and a sunny-side up egg on top, served still sizzling in a hot stone pot so that the rice on the bottom, if left to do its thing, gets delightfully toasted and crispy, and accompanied by a plethora of tasty banchan."
69,Meat Entrees,Fesenjan Stew at Falafel Cafe,"The term bittersweet is often used to evoke beautiful melancholy, but at Falafel Cafe there is no sadness to the interplay between the smashed bitter walnuts and sweet pomegranate paste in the fesenjan stew. The dark brown sauce clings to chunks of chicken, and when ladled over the fluffy Persian rice, creates a sticky, sour, nutty mess that'll make you long for it like a lost lover."
70,Meat Entrees,Filet Pepper Steak at Chop's Lobster Bar,"At most steak houses, the ribeye is usually the go-to. Not at Chop's. The signature filet pepper steak, available both upstairs in the restaurant, or downstairs in the lobster bar ? is devastatingly good, with its cracked pepper crust, green peppercorn brandy sauce, mushrooms, and port-braised shallots, sitting atop a potato confit. It doesn't get any better than this."
71,Meat Entrees,Fried Chicken at The Colonnade,"Some things must be eaten for the same reason certain movies must be seen ? because they are classic. The Colonnade has been serving gigantic portions of batter-fried chicken since 1927. It's super crispy, steaming hot, juicy, and served in a dining room full of gays and greys by servers with major mother complexes."
72,Meat Entrees,Hot Wings at Jamal's Buffalo Wings,"The critical point during any visit to Jamal's ? once housed in a tiny takeout-only trailer at the corner of MLK and Northside Drive and now tucked into the back of the 2001 building on MLK ? is the moment you settle back into your car. You're hungry and the inside of your car now smells like hot wing heaven: Should you break into that Styrofoam treasure chest right then and there, or show some restraint and wait till you get back home? Whether they're the intensely tart lemon pepper wings or the saucy buffalo variety, Jamal's hot wings are fantastically crisp and tender."
73,Meat Entrees,Hummus With Lamb at Ameer's Mediterranean,"Located inside a nondescript strip mall near LaVista and Briarcliff roads, Ameer's has some of the most authentic, no-frills Middle Eastern food in the city. Falafel and shawarma here are exemplary, but Ameer's lesser-known lamb on hummus should not be missed. Spiced with a blend of oriental peppers, the mound of ground lamb rests on a bed of silky hummus topped with olive oil, parsley, and pine nuts. Swipe a piece of pillowy, toasted pita through both piles and scoop. Herby notes from the pine nuts and the creamy hummus transform the lamb's natural gaminess from a rugged roar to an alluring whisper."
